name,gender,meetName,date,year,url,400H,800m,HJ
Ethan Land,M,Western State Conference Prelims and Championships,4/22 - 4/29,2022,https://www.milesplit.com/meets/478389/results,57.42,2:03.76,6-2.75
Danya Spoor,F,Eastern States Invitational,6/5,2022,https://www.milesplit.com/meets/466846/results,1:07.50,2:22.81,4-10
Georgia Piper,F,Milton Showcase Invitational,3/4 - 3/5,2022,https://www.milesplit.com/meets/441270/results,1:14.51,2:39.28,5-2
Lana Musa,F,Emory Thrills in the Hills Open,3/25 - 3/26,2022,https://www.milesplit.com/meets/454159/results,1:12.66,2:35.36,5-1
Chance Anderson,M,AAU Georgia District Championship,6/11 - 6/12,2022,https://www.milesplit.com/meets/485997/results,1:17.94,2:28.86,5-8
Tatum Lynn,F,AAU Region 3 National Qualifier,6/23 - 6/26,2022,https://www.milesplit.com/meets/491523/results,1:05.00,2:30.00,4-6
Shanae Ingram,F,Aggie Classic,4/22 - 4/23,2022,https://www.milesplit.com/meets/479166/results,1:02.98,2:20.35,5-3
Rosie Pintado,F,Fr/So/Nov Skyland Girls Championship,5/21,2022,https://www.milesplit.com/meets/464611/results,1:14.55,2:44.49,4-4
Tatiana Nunez,F,Hudson County Championships,5/19 - 5/21,2022,https://www.milesplit.com/meets/464652/results,1:10.12,2:24.98,4-2
Ava Maher,F,Passaic County Outdoor Track Championships,5/24 - 5/25,2022,https://www.milesplit.com/meets/465937/results,1:08.38,2:26.67,4-6
Ava Maher,F,Big North Championships-Independence and Liberty,5/6,2022,https://www.milesplit.com/meets/466086/results,1:09.63,2:37.08,4-3
Megan McCann,F,Union County Championships,5/24 - 5/25,2022,https://www.milesplit.com/meets/473684/results,1:13.26,2:22.48,4-8
Asydiah Pray-Brown,F,Union County Conference Championships,5/12 - 5/13,2022,https://www.milesplit.com/meets/479086/results,1:02.80,2:15.66,4-10
Megan McCann,F,Union County Conference Championships,5/12 - 5/13,2022,https://www.milesplit.com/meets/479086/results,1:10.46,2:26.46,4-6
Ewan Celestine,M,Rondout Valley- Ellenville- FDR - Red Hook,4/5,2022,https://www.milesplit.com/meets/469773/results,1:10.34,2:26.96,4-9
Makayla Andolora,F,Pembroke Invitational,5/6,2022,https://www.milesplit.com/meets/470156/results,1:21.66,2:50.85,4-0
Matthew Cai,M,Herricks Invitational,5/12,2022,https://www.milesplit.com/meets/480907/results,1:13.54,2:38.70,4-8
Maia Rich,F,Kingston vs. Middletown,5/10,2022,https://www.milesplit.com/meets/483361/results,1:08.51,3:01.34,4-3
Izzy Shatraw,F,Van Dusen Memorial,5/21,2022,https://www.milesplit.com/meets/485423/results,1:09.86,2:35.89,4-4
Ricardo Ruffin,M,AAU Lake Erie District Qualifier,6/10 - 6/11,2022,https://www.milesplit.com/meets/485971/results,1:06.83,2:22.28,5-6
